ticket,opening_time_utc,closing_time_utc,type,lots,original_position_size,symbol,opening_price,closing_price,stop_loss,take_profit,commission_usd,swap_usd,profit_usd,equity_usd,margin_level,close_reason
1340665255,2024-12-11T09:05:50.016000,2024-12-11T09:12:19.968000,buy,0.01,0.01,XAUUSDm,2689.911,2688.965,2686,,0,0,-0.94,,,user
1340208104,2024-12-11T05:33:24.891000,2024-12-11T06:21:02.135000,buy,0.01,0.01,XAUUSDm,2677.207,2694.022,2680,,0,0,16.81,,,user
1339839193,2024-12-10T21:12:40.079000,2024-12-11T04:40:24.052000,buy,0.01,0.01,EURUSDm,1.05253,1.0522,1.0522,,0,0,-0.33,,,sl
1339986265,2024-12-11T02:25:21.413000,2024-12-11T04:40:24.051000,buy,0.02,0.02,EURUSDm,1.0539,1.0522,1.0522,,0,0,-3.4,,,sl
1340005997,2024-12-11T02:46:15.504000,2024-12-11T04:40:24.051000,buy,0.01,0.01,EURUSDm,1.05345,1.0522,1.0522,,0,0,-1.25,,,sl
1339163419,2024-12-10T14:04:14.867000,2024-12-10T19:46:11.904000,buy,0.01,0.01,USOILm,68.25,68.1,68.1,,0,0,-1.5,,,sl
1339162491,2024-12-10T10:07:28.120000,2024-12-10T19:46:11.904000,buy,0.02,0.02,USOILm,67.894,68.1,68.1,,0,0,4.12,,,sl
1339151810,2024-12-10T09:55:56.166000,2024-12-10T10:03:18.869000,buy,0.02,0.02,USOILm,67.902,67.905,,,0,0,0.06,,,user
1338884398,2024-12-10T05:01:34.262000,2024-12-10T09:48:02.176000,buy,0.01,0.01,USOILm,67.777,67.8,67.8,,0,0,0.23,,,sl
1338658345,2024-12-09T23:43:39.988000,2024-12-10T09:48:02.175000,buy,0.01,0.01,USOILm,67.96,67.8,67.8,,0,0,-1.6,,,sl
1338844967,2024-12-10T06:12:17.194000,2024-12-10T07:45:30.372000,buy,0.01,0.01,EURUSDm,1.0565,1.0554,1.0554,,0,0,-1.1,,,sl
1338803840,2024-12-10T03:22:58.285000,2024-12-10T07:45:30.371000,buy,0.01,0.01,EURUSDm,1.05539,1.0554,1.0554,,0,0,0.01,,,sl
